NTP total (M),Mg (M),RNA after 5 min (uM)
0.0016,0.002,0.4385
0.0032,0.002,0.369
0.0064,0.002,0.0327
0.0128,0.002,-0.001925
0.016,0.002,-0.00575
0.0016,0.004,0.55
0.0032,0.004,0.63
0.0064,0.004,0.423
0.0128,0.004,0.02115
0.016,0.004,0.01345
0.0016,0.008,0.58
0.0032,0.008,0.74
0.0064,0.008,0.805
0.0128,0.008,0.4075
0.016,0.008,0.2405
0.0016,0.014,0.615
0.0032,0.014,0.715
0.0064,0.014,0.855
0.0128,0.014,0.86
0.016,0.014,0.755
0.0016,0.02,0.53
0.0032,0.02,0.66
0.0064,0.02,0.77
0.0128,0.02,0.93
0.016,0.02,0.94
