Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA stdev (uM)
total rna,"(0.25,0.5,1,1.5,2,3)",64,20.53,4,4,4,4,0,6,1,40,1,2,315,147,280,241,1.00E-09,"(0.638006882, 0.850675843, 2.153273226, 3.668539569, 4.838218853, 6.6459050109)",1
total rna,"(0.25,0.5,1,1.5,2,3)",64,20.53,4,4,4,4,0,9,1,40,1,2,315,147,280,241,1.00E-09,"(1.834269785, 2.924198208, 5.050887814, 7.416830001, 11.61704197, 14.08931864)",1
total rna,"(0.25,0.5,1,1.5,2,3)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(3.615372331, 4.412880932, 7.469997242, 11.16512043, 13.95640054, 14.14248588)",1
total rna,"(0.25,0.5,1,1.5,2,3)",64,20.53,4,4,4,4,0,15,1,40,1,2,315,147,280,241,1.00E-09,"(3.322952511, 6.273734339, 9.889106667, 12.30821609, 17.06668409, 14.14248588)",1
total rna,"(0.25,0.5,1,1.5,2,3)",64,20.53,4,4,4,4,0,20,1,40,1,2,315,147,280,241,1.00E-09,"(5.609143835, 10.47394631, 11.61704197, 11.43095663, 12.73355402, 13.2386428)",1
total rna,"(0.25,0.5,1,1.5,2,3)",64,20.53,4,4,4,4,0,25,1,40,1,2,315,147,280,241,1.00E-09,"(5.423058497, 8.719427386, 11.48412387, 11.59045835, 14.14248588, 13.45131176)",1
total rna,"(0.25,0.5,1,1.5,2,3)",64,20.53,4,4,4,4,0,50,1,40,1,2,315,147,280,241,1.00E-09,"(1.462099104, 2.392525807, 4.811635234, 5.050887814, 4.731884374, 4.785051612)",1
total rna,"(0.25,0.5,0.75,1,1.5,2,2.5,3)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(3.469973446, 5.16461164, 6.617158665, 8.769080179, 14.06818692, 14.06818692, 14.44477318, 15.87042119)",1
total rna,"(0.25,0.5,0.75,1,1.5,2,2.5,3)",128,41.06,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(4.411439108, 6.913047873, 9.172565463, 11.9162654, 14.39097514, 14.41787416, 15.19794571, 14.87515748)",1
total rna,"(0.25,0.5,0.75,1,1.5,2,2.5,3)",320,102.65,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(4.976318507, 8.123503726, 11.40518404, 13.71849967, 14.17578299, 14.17578299, 14.55236926, 15.35933983)",1
total rna,"(0.25,0.5,0.75,1,1.5,2,2.5,3)",64,20.53,8,8,8,8,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(0.457283322, 0.672475474, 0.833869588, 1.02216272, 1.613941138, 1.882931327, 2.474709744, 2.609204839)",1
total rna,"(0.25,0.5,0.75,1,1.5,2,2.5,3)",128,41.06,8,8,8,8,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(0.618677436, 0.995263701, 1.29115291, 1.694638194, 2.528507782, 3.416175406, 4.357641071, 5.406702812)",1
total rna,"(0.25,0.5,0.75,1,1.5,2,2.5,3)",320,102.65,8,8,8,8,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(0.995263701, 1.640840156, 2.367113668, 3.039589142, 5.299106733, 7.2358361, 10.2216272, 11.9162654)",1
