Filled Square pH,Filled Square V,Cross pH,Cross V
5.754385965,0.051136364,9.070175439,7.619318182
6.289473684,0.732954545,8.771929825,6.971590909
6.771929825,1.159090909,9.49122807,4.295454545
6.824561404,2.045454545,9.771929825,1.994318182
7.324561404,6.068181818,10.00877193,0.988636364
7.587719298,8.045454545,10.21929825,0.153409091
7.807017544,10.51704545,10.26315789,0.170454545
7.807017544,9.732954545,10.5,0.136363636
8.184210526,11.02840909,10.74561404,0.1875
8.236842105,11.09659091,11.13157895,0.204545455
8.201754386,10.94318182,11.49122807,0.017045455
8.535087719,11.07954545,,
8.842105263,9.494318182,,
9.131578947,9.289772727,,
9.131578947,8.420454545,,
9.228070175,7.926136364,,
9.570175439,7.738636364,,
9.324561404,6.647727273,,
9.622807018,6.017045455,,
9.771929825,2.4375,,
9.912280702,1.414772727,,
9.921052632,0.971590909,,
10.1754386,0.085227273,,
7.333333333,6.954545455,,
7.175438596,2.284090909,,
6.578947368,1.107954545,,
6.096491228,0.238636364,,
8.789473684,8.727272727,,
8.096491228,10.56818182,,
